old_size,old_sizeh,new_size,new_sizeh,dif,idx
19340,18.89 KB,44708,43.66 KB,25368,209
12330,12.04 KB,26562,25.94 KB,14232,210
28137,27.48 KB,-1,-1,-28137,211
10588,10.34 KB,31209,30.48 KB,20621,212
24408,23.84 KB,28595,27.92 KB,4187,213
11672,11.4 KB,250670,244.79 KB,238998,214
19659,19.2 KB,31403,30.67 KB,11744,215
14589,14.25 KB,-1,-1,-14589,216
12669,12.37 KB,75333,73.57 KB,62664,217
21620,21.11 KB,32892,32.12 KB,11272,218
28668,28 KB,59071,57.69 KB,30403,219
27298,26.66 KB,54172,52.9 KB,26874,220
26941,26.31 KB,-1,-1,-26941,221
41174,40.21 KB,63095,61.62 KB,21921,222
11210,10.95 KB,24937,24.35 KB,13727,223
42689,41.69 KB,-1,-1,-42689,224
12847,12.55 KB,33550,32.76 KB,20703,225
12299,12.01 KB,33110,32.33 KB,20811,226
37960,37.07 KB,74498,72.75 KB,36538,227
16043,15.67 KB,32342,31.58 KB,16299,228
14086,13.76 KB,65500,63.96 KB,51414,229
14684,14.34 KB,134602,131.45 KB,119918,230
16307,15.92 KB,40279,39.33 KB,23972,231
18542,18.11 KB,41061,40.1 KB,22519,232
37730,36.85 KB,88668,86.59 KB,50938,233
9704,9.48 KB,35601,34.77 KB,25897,234
13885,13.56 KB,28404,27.74 KB,14519,235
13123,12.82 KB,33680,32.89 KB,20557,236
22186,21.67 KB,70766,69.11 KB,48580,237
30401,29.69 KB,98587,96.28 KB,68186,238
11734,11.46 KB,30230,29.52 KB,18496,239
11119,10.86 KB,22787,22.25 KB,11668,240
13646,13.33 KB,57682,56.33 KB,44036,241
9253,9.04 KB,24111,23.55 KB,14858,242
11634,11.36 KB,30385,29.67 KB,18751,243
20287,19.81 KB,32626,31.86 KB,12339,244
9852,9.62 KB,24197,23.63 KB,14345,245
26447,25.83 KB,42415,41.42 KB,15968,246
11185,10.92 KB,25693,25.09 KB,14508,247
21908,21.39 KB,93363,91.17 KB,71455,248
51553,50.34 KB,199838,195.15 KB,148285,249
12359,12.07 KB,26054,25.44 KB,13695,250
27362,26.72 KB,65279,63.75 KB,37917,251
16613,16.22 KB,57507,56.16 KB,40894,252
29022,28.34 KB,-1,-1,-29022,253
29487,28.8 KB,-1,-1,-29487,254
25714,25.11 KB,105752,103.27 KB,80038,255
