wc,vc
2292,971
2293,972
2297,973
2299,974
2304,975
2305,976
2306,977
2307,978
2308,979
2313,980
2315,981
2317,982
2318,983
2321,984
2322,985
2324,986
2325,987
2328,988
2329,989
2330,990
2331,991
2332,992
2333,993
2335,994
2338,995
2345,996
2348,997
2349,998
2352,999
2353,1000
2355,1001
2360,1002
2361,1003
2362,1004
2363,1005
2366,1006
2369,1007
2370,1008
2373,1009
2374,1010
2375,1011
2376,1012
2378,1013
2379,1014
2380,1015
2381,1016
2384,1017
2385,1018
2386,1019
2387,1020
2390,1021
2397,1022
2400,1023
2401,1024
2404,1025
2405,1026
2409,1027
2413,1028
2414,1029
2415,1030
2416,1031
2417,1032
2418,1033
2421,1034
2423,1035
2424,1036
2428,1037
2433,1038
2435,1039
2436,1040
2438,1041
2440,1042
2441,1043
2443,1044
2444,1045
2447,1046
2449,1047
2451,1048
2452,1049
2456,1050
2459,1051
2463,1052
2465,1053
2466,1054
2469,1055
2473,1056
2474,1057
2475,1058
2482,1059
2483,1060
2487,1061
2489,1062
2521,1063
2522,1064
2524,1065
2531,1066
2545,1067
2546,1068
2547,1069
2548,1070
2549,1071
2550,1072
2551,1073
2552,1074
2553,1075
2554,1076
2555,1077
2556,1078
2557,1079
2558,1080
2559,1081
2560,1082
2561,1083
2562,1084
2563,1085
2564,1086
2565,1087
2567,1088
2603,1089
2604,1090
2638,1091
2639,1092
2643,1093
2646,1094
2648,1095
2650,1096
2653,1097
2654,1098
2656,1099
2659,1100
2660,1101
2661,1102
2662,1103
2663,1104
2666,1105
2668,1106
2673,1107
2674,1108
2675,1109
2676,1110
2679,1111
2682,1112
2683,1113
2686,1114
2693,1115
2695,1116
2696,1117
2697,1118
2698,1119
2699,1120
2700,1121
2701,1122
2702,1123
2705,1124
2707,1125
2708,1126
2709,1127
2712,1128
2713,1129
2714,1130
2717,1131
2718,1132
2719,1133
2720,1134
2723,1135
2726,1136
2728,1137
2729,1138
2730,1139
2731,1140
2732,1141
2733,1142
2734,1143
2735,1144
2738,1145
2744,1146
2746,1147
2748,1148
2749,1149
2750,1150
2751,1151
2753,1152
2756,1153
2757,1154
2761,1155
2762,1156
2766,1157
2769,1158
2771,1159
2772,1160
2773,1161
2774,1162
2776,1163
2779,1164
2783,1165
2788,1166
2789,1167
2791,1168
