q,ndcg,num_rel_ret,R-prec,num_rel,P500,ndcg5,jmap,muap,num_ret,num_unjug_ret,ndcg1000,P30,ndcg10,p,P100,ndcg200,P10,ndcg30,P20,P5,ndcg100,ndcg20,P1000,P200,map,r,recip_rank,ndcg500
39,0.26181,2.00000,0.00000,12.00000,0.20000,0.33916,0.16667,0.83333,10.00000,8.00000,0.26181,0.20000,0.29346,0.20000,0.20000,0.26181,0.20000,0.26181,0.20000,0.20000,0.26181,0.26181,0.20000,0.20000,0.10714,0.16667,1.00000,0.26181
40,0.33014,2.00000,0.20000,10.00000,0.20000,0.50874,0.20000,1.00000,10.00000,8.00000,0.33014,0.20000,0.33014,0.20000,0.20000,0.33014,0.20000,0.33014,0.20000,0.40000,0.33014,0.33014,0.20000,0.20000,0.16667,0.20000,1.00000,0.33014
41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42,0.04589,1.00000,0.00000,21.00000,0.10000,0.00000,0.04762,0.47619,10.00000,9.00000,0.04589,0.10000,0.07336,0.10000,0.10000,0.04589,0.10000,0.04589,0.10000,0.00000,0.04589,0.04735,0.10000,0.10000,0.00680,0.04762,0.14286,0.04589
43,0.11551,3.00000,0.00000,41.00000,0.30000,0.21399,0.07317,0.24390,10.00000,7.00000,0.11551,0.30000,0.28669,0.30000,0.30000,0.11551,0.30000,0.14218,0.30000,0.20000,0.11551,0.18502,0.30000,0.30000,0.02947,0.07317,0.50000,0.11551
44,0.33580,3.00000,0.00000,17.00000,0.30000,0.72273,0.17647,0.58824,10.00000,7.00000,0.33580,0.30000,0.46900,0.30000,0.30000,0.33580,0.30000,0.33580,0.30000,0.60000,0.33580,0.33580,0.30000,0.30000,0.17647,0.17647,1.00000,0.33580
45,0.29351,4.00000,0.00000,26.00000,0.40000,0.83042,0.15385,0.38462,10.00000,6.00000,0.29351,0.40000,0.53889,0.40000,0.40000,0.29351,0.40000,0.29351,0.40000,0.80000,0.29351,0.34778,0.40000,0.40000,0.13654,0.15385,1.00000,0.29351
46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
48,0.05911,1.00000,0.00000,12.00000,0.10000,0.00000,0.08333,0.83333,10.00000,9.00000,0.05911,0.10000,0.06625,0.10000,0.10000,0.05911,0.10000,0.05911,0.10000,0.00000,0.05911,0.05911,0.10000,0.10000,0.00926,0.08333,0.11111,0.05911
