descriptions description
aberration aberrations
plain plains
freezes freeze
heights height
bluffers bluffer
guardian guardians
sheriffs sheriff
interchange interchanges
pes pe
runners runner
highway highways
ambush ambushes
handovers handover
candidacies candidacy
turpin turpins
expectorants expectorant
twenties twenty
tolkien tolkiens
typologies typology
venues venue
compartment compartments
planner planners
harrison harrisons
catalogs catalog
issue issues
islander islanders
observatory observatories
screenings screening
energies energy energys
courthouses courthouse
farm farms
havens haven
dig digs
resister resisters
sentinel sentinels
expo expos
conversion conversions
beaks beak
viscountcy viscountcies
watermelon watermelons
christchurchs christchurch
milwaukees milwaukee
mollusc molluscs
misdeeds misdeed
comedians comedian
jumps jump
format formats
six sixes
revivals revival
distances distance
tumor tumors
elements element
yogi yogin yogis
drawbridges drawbridge
tourist tourists
mates mate
reproductions reproduction
stanhopes stanhope
stick sticks
tays tay
derricks derrick
recoveries recovery
weddings wedding
dike dikes
husbands husband
danzig danzigs
menanders menander
telecasts telecast
chairman chairmen chairmans
rams ram
borough boroughs
opponents opponent
arrival arrivals
offender offenders
cheers cheer
virgins virgin
stack stacks
monarchist monarchists
leos leo
lands land
dislike dislikes
thos tho
passions passion
bowls bowl
hampshire hampshires
cease ceases
mitchell mitchells
zoologists zoologist
trace traces
poll polls
dolphins dolphin
environmentalist environmentalists
palatinates palatinate
puppet puppets
totals total
photo photos
demonstrations demonstration
enterprise enterprises
myths myth
clause clauses
tv tvs
budget budgets
warner warners
vatican vaticans
steamer steamers
microfilms microfilm
down downs
h hs
cognates cognate
anderson andersons
makers maker
organophosphates organophosphate
beast beasts
npc npcs
epistle epistles
islams islam
taiwan taiwans
cannibal cannibals
meaning meanings
counselors counselor
bows bow
tsa tsas
porters porter
swans swan
chariots chariot
phosphate phosphates
winnipeg winnipegs
ornithologist ornithologists
templar templars
last lasts
suborders suborder
batters batter
crawfords crawford
hymns hymn
inlet inlets
miscellany miscellanies
ideas idea
merchants merchant
gabriels gabriel
lute lutes
cult cults
sectors sector
globes globe
reed reeds
episcopalian episcopalians
candies candy
aviaries aviary
admiral admirals
pacifist pacifists
bird birds
wingers winger
brute brutes
nobles noble
detective detectives
velours velour
bolshevik bolsheviks
roadway roadways
saves save
beauty beauties
pinstripes pinstripe
hells hell
lei leis
ornament ornaments
gateways gateway
utopia utopias
orchestra orchestras
calyx calyces
burglary burglaries
qualitys qualities quality
short shorts
cliff cliffs
peptide peptides
gestures gesture
categories category
middleweight middleweights
brides bride
josephs joseph
phases phase
flops flop
resolutions resolution
distribution distributions
plaid plaids
silver silvers
essential essentials
spokesman spokesmen
sappho sapphos
stairway stairways
strike strikes
brooks brook
grotesque grotesques
rookies rookie
impulses impulse
nucleotide nucleotides
modifications modification
dedication dedications
capacities capacity
gis gi
morays moray
exit exits
maratha marathas
lad lads
rats rat
gear gears
measure measures
sauropods sauropod
sonnet sonnets
lombard lombards
rainbow rainbows
hallway hallways
gravity gravitys
dynasties dynasty
warlords warlord
voles vole
sunderlands sunderland
santas santa
cruises cruise
halogen halogens
himalayas himalaya
granges grange
prefect prefects
impairment impairments
berg bergs
event events
regulars regular
canadian canadians
gunmen gunman gunmans
safari safaris
dealership dealerships
hull hulls
placekickers placekicker
employers employer
class classes
trick tricks
thing things
cannon cannons
cross crosses
habitations habitation
leones leone
disagreement disagreements
extra extras
serpent serpents
swifts swift
cossacks cossack
bricks brick
retriever retrievers
malay malays
repeater repeaters
televisions television
owens owen
thompsons thompson
metrics metric
tuning tunings
mussolinis mussolini
trumpeter trumpeters
zealots zealot
obligations obligation
broca brocas
kingsnake kingsnakes
status statuses
counterparts counterpart
iraqs iraq
operas opera
arroyo arroyos
edward edwards
pillars pillar
xs x
variant variants
easts east
personalities personality
semaphore semaphores
gold golds
federalists federalist
commuter commuters
transferase transferases
crabs crab
expanses expanse
dianas diana
hamelin hamelins
deers deer
fdr fdrs
name names
supernova supernovae
burial burials
assassins assassin
associations association
chapters chapter
vocalizations vocalization
lens lenses
cabin cabins
mailers mailer
attempt attempts
indictions indiction
sudbury sudburys
fleer fleers
reinforcement reinforcements
nurses nurse
consonant consonants
routers router
methods method
dimension dimensions
midgets midget
administrator administrators
tides tide
waveforms waveform
passerines passerine
jensen jensens
creek creeks
transcripts transcript
moshavim moshav
wars war
apcs apc
negotiations negotiation
kses kss k ksss ks
google googles
directives directive
examinations examination
antique antiques
genets genet
pundit pundits
ovaries ovarys ovary
gardner gardners
comma commas
homicide homicides
pan pans
junks junk
paine paines
bends bend
directories directory
say says
bisexual bisexuals
strikers striker
toothbrush toothbrushes
forests forest
resignation resignations
communications communication
mortons morton
gyri gyrus
mormons mormon
moderators moderator
consoles console
boats boat
waste wastes
expansion expansions
finalists finalist
youngs young
bryans bryan
divider dividers
militarys military
orientations orientation
kicker kickers
esthers esther
absolute absolutes
controls control
schisms schism
censuses census
memos memo
taoism taoisms
poems poem
post posts
folder folders
place places
quincys quincy
grenades grenade
rerun reruns
programmes programme
chaucers chaucer
badgers badger
democrats democrat
turret turrets
shop shops
birthday birthdays
tass ta tas
ponds pond
individual individuals
timors timor
tackles tackle
sides side
bathrooms bathroom
sprinter sprinters
fig figs
nickelodeon nickelodeons
audible audibles
tariff tariffs
video videos
medical medicals
forger forgers
map maps
fighter fighters
kazakh kazakhs
evils evil
valleys valley
polynesian polynesians
neurologists neurologist
shock shocks
catacomb catacombs
repeats repeat
teaching teachings
newtons newton
adjustment adjustments
providers provider
cytokine cytokines
countrys country countries
cultivar cultivars
casks cask
fourths fourth
factorys factory factories
cubs cub
terminus termini
skull skulls
beck becks
dakotas dakota
witnesses witness
americas america
lesbians lesbian
feelings feeling
cactus cacti cactuses
bulldog bulldogs
zoos zoo
philosophers philosopher
longboats longboat
anaesthetic anaesthetics
textile textiles
dentists dentist
casualties casualty
challenge challenges
films film
years year
love loves
organic organics
portuguese portugueses
tetrapods tetrapod
maria marias
mainland mainlands
tramways tramway
taxi taxis
seasons season
oils oil
musical musicals
walterss walters walter
caps cap
victors victor
runways runway
arcadias arcadia
budapest budapests
mails mail
inspirations inspiration
bishop bishops
fellini fellinis
curve curves
carriers carrier
archbishop archbishops
worcester worcesters
soil soils
bat bats
ans an
counters counter
landscape landscapes
bestsellers bestseller
landlord landlords
circuit circuits
pump pumps
acronym acronyms
folks folk
puzzle puzzles
cree crees
haircuts haircut
history histories
erie eries
clinic clinics
nigerian nigerians
million millions
synthesisers synthesiser
aikens aiken
wakes wake
terminal terminals
investor investors
draculas dracula
wolfes wolfe
frederick fredericks
sea seas
howe howes
historian historians
mes me meses
compilations compilation
ambiguities ambiguity
posters poster
ormazds ormazd
district districts
defeats defeat
customers customer
uganda ugandas
urds urd
bennys benny bennies
demand demands
bourne bournes
litres litre
thai thais
cuttings cutting
nehru nehrus
strain strains
atrophies atrophy
nasdaqs nasdaq
plaque plaques
regent regents
convention conventions
beverages beverage
man mans
basins basin
third thirds
geniuses genius
newburghs newburgh
robert roberts
dylan dylans
insurgency insurgencies
schoolss schools school
z zs
tyrannies tyranny
disposal disposals
contact contacts
abrahams abraham
sorority sororities
chorister choristers
native natives
pershing pershings
sounds sound
buses bus busses
schedules schedule
terry terrys terries
lough loughs
mason masons
dare dares
gathering gatherings
bunker bunkers
conditions condition
creations creation
congress congresses congresss
leacock leacocks
majors major
joysticks joystick
hostage hostages
answers answer
stylists stylist
english englishs
kenyas kenya
summary summaries
snap snaps
journey journeys
meteorologist meteorologists
julians julian
builders builder
box boxes
founders founder
home homes
palm palms
confessions confession
cause causes
databases database
sportscasters sportscaster
miracle miracles
attackers attacker
meteorite meteorites
likes like
ipods ipod
apes ape
circles circle
revolts revolt
lugers luger
hormones hormone
extracts extract
strings string
clutches clutch
rains rain
baronets baronet
mantra mantras
kernels kernel
truth truths
passages passage
meeting meetings
timelines timeline
knight knights
pilgrims pilgrim
marathons marathon
animator animators
helicopter helicopters
rush rushes
cartel cartels
bulbuls bulbul
guitarists guitarist
botanists botanist
madrids madrid
files file
barleys barley
walks walk
python pythons
doubles double
marsupial marsupials
specials special
enthusiasts enthusiast
harrier harriers
primate primates
britain britains
lay lays
allocations allocation
bess be
marches march
troopships troopship
need needs
analyzer analyzers
insect insects
order orders
trestle trestles
gendarme gendarmes
detroits detroit
liverwort liverworts
sites site
articles article
villages village
wave waves
hume humes
recording recordings
blurs blur
mitogen mitogens
elephant elephants
gunners gunner
throws throw
waterbirds waterbird
bromide bromides
work works
writers writer
family familys families
illustrations illustration
am ams
menus menu
tooths tooth
pathogens pathogen
towns town
jamaicans jamaican
book books
embassies embassy
fos fo foss
criticisms criticism
benzodiazepine benzodiazepines
dams dam
canid canids
dancer dancers
nadas nada
pulls pull
grimm grimms
gap gaps
sieges siege
hollow hollows
contaminant contaminants
shay shays
guerrillas guerrilla
spread spreads
volunteers volunteer
policies policy
oiler oilers
kiev kievs
mobiles mobile
concept concepts
grandmother grandmothers
interaction interactions
extreme extremes
photons photon
sewer sewers
barmaid barmaids
autobiography autobiographies
custer custers
debts debt
snipers sniper
sighting sightings
feline felines
newsletter newsletters
gastropods gastropod
sins sin
hypnotics hypnotic
abstractions abstraction
pregnancy pregnancies
minions minion
dukedoms dukedom
bassist bassists
shroud shrouds
assistants assistant
mummy mummies mummys
lactobacilli lactobacillus
mortgagor mortgagors
melbournes melbourne
buddhist buddhists
islands island
bible bibles
samss sam sams
meissners meissner
woodwind woodwinds
anteriors anterior
spinners spinner
luxembourgs luxembourg
glyphs glyph
talker talkers
lessons lesson
kurosawas kurosawa
carthaginians carthaginian
lattices lattice
cbc cbcs
tenants tenant
ephesian ephesians
clouds cloud
mainframes mainframe
plum plums
assignments assignment
archive archives
ground grounds
berber berbers
spacecrafts spacecraft
magazines magazine
update updates
professor professors
remnant remnants
parables parable
direction directions
resorts resort
repository repositories
stalins stalin
uk uks
knots knot
icemans iceman
officials official
annes anne
weavers weaver
arnhem arnhems
ashrams ashram
kurds kurd
lubbock lubbocks
rebel rebels
sculpturer sculpturers
guru gurus
saturn saturns
ore ores
kick kicks
std stds
semiconductors semiconductor
stairwells stairwell
utah utahs
tractor tractors
bands band
recipes recipe
normal normals
difficulty difficulties
ending endings
partisan partisans
possibility possibilities
bulbs bulb
list lists
launch launches
sprints sprint
comtes comte
bloods blood
mushrooms mushroom
shia shias
muskets musket
circulations circulation
phosphatase phosphatases
rachels rachel
sack sacks
apprentice apprentices
prophet prophets
visions vision
probabilities probability
aliens alien
conscience consciences
gaels gael
schumanns schumann
armenian armenians
surfers surfer
newscasts newscast
shudras shudra
familiar familiars
carolingian carolingians
pontiacs pontiac
gambles gamble
technique techniques
terrorist terrorists
headland headlands
ensigns ensign
organists organist
interest interests
allotrope allotropes
constructors constructor
servants servant
peewees peewee
specifications specification
kilogram kilograms
shifts shift
inmates inmate
chinooks chinook
sergeants sergeant
trip trips
lateral laterals
mongols mongol
convert converts
roosevelt roosevelts
seaplane seaplanes
mo mos
puddings pudding
shrimp shrimps
chaldean chaldeans
lincoln lincolns
wood woods
drinks drink
honors honor
scooter scooters
room rooms
m ms
israels israel
porch porches
appendices appendix
pests pest
wink winks
mouthwash mouthwashes
cave caves
inhabitant inhabitants
vanda vandas
grasslands grassland
nucleolus nucleoli
exhibits exhibit
laps lap
cabbage cabbages
jehovah jehovahs
inaugurations inauguration
genres genre
levitation levitations
fireballs fireball
fora forums forum
middleton middletons
waltz waltzes
idaho idahos
quantities quantity
hitman hitmen
emperor emperors
interleukin interleukins
piers pier
headlines headline
mrs mr
recitals recital
norwegians norwegian
margins margin
frankensteins frankenstein
centaurs centaur
susanna susannas
canutes canute
brigades brigade
jaws jaw
architect architects
gator gators
paxtons paxton
poe poes
byzantines byzantine
adult adults
purcells purcell
bears bear
henchmen henchman
get gets
backups backup
pairing pairings
currents current
mirrors mirror
streetcar streetcars
supporters supporter
nys ny
crystal crystals
stopper stoppers
stipends stipend
saladins saladin
pussycat pussycats
geologists geologist
jokes joke
marys maries mary
sorcerers sorcerer
banks bank
oystercatcher oystercatchers
membership memberships
punches punch
cricketer cricketers
gums gum
frequencies frequency
babies baby babys
context contexts
elvis elvises elviss
friedman friedmans
haemophiliac haemophiliacs
attics attic
golfs golf
haley haleys
stephenson stephensons
representatives representative
explosions explosion
painkiller painkillers
suns sun
aviator aviators
swing swings
qualifications qualification
reforms reform
punishments punishment
rugbys rugby
regard regards
poets poet
draft drafts
cinquefoil cinquefoils
exporter exporters
psalm psalms
cite cites
doctrine doctrines
souths south
watches watch
goodbyes goodbye
potters potter
treatment treatments
keyboard keyboards
cartridge cartridges
playoff playoffs
scale scales
tavern taverns
yards yard
combination combinations
masculinity masculinities
alternatives alternative
consequence consequences
chronicles chronicle
audition auditions
imam imams
embryos embryo
neanderthal neanderthals
penicillins penicillin
rib ribs
fertilizers fertilizer
jackal jackals
there theres
macons macon
camels camel
dietrich dietrichs
partnerships partnership
boom booms
habit habits
popes pope
migrant migrants
minister ministers
continent continents
lectors lector
due dues
reference references
mokes moke
bobcats bobcat
ironwork ironworks
playboy playboys
pretend pretends
surnames surname
athenian athenians
oklahomas oklahoma
admission admissions
it its
synthesizers synthesizer
reservations reservation
colubrid colubrids
ranges range
parodies parody
lokis loki
sculpture sculptures
watchers watcher
magyar magyars
premise premises
outtake outtakes
horde hordes
activists activist
tragedy tragedies
tomahawk tomahawks
diseases disease
job jobs
credits credit
therapists therapist
correlate correlates
ambition ambitions
martins martin martinss
impression impressions
researcher researchers
treatises treatise
packets packet
salt salts
martians martian
hurricane hurricanes
kat kats
export exports
paisleys paisley
hikes hike
reply replies
soldierss soldiers soldier
claws claw
tories tory
auxiliaries auxiliary
has ha
mins min
seminary seminaries
pasadena pasadenas
permission permissions
instructions instruction
leonard leonards
defile defiles
doge doges
temples temple
gays gay
debuts debut
texas texass
loyalist loyalists
deaneries deanery
bombings bombing
pieces piece
amateurs amateur
aviation aviations
cone cones
zealand zealands
trains train
warnings warning
baronetcy baronetcies
idealists idealist
assay assays
trainer trainers
councillors councillor
department departments
acquisition acquisitions
provisions provision
apartment apartments
strategies strategy
priorities priority
perchlorates perchlorate
clarks clark
intersections intersection
buffalo buffaloes buffalos
enzymes enzyme
partridges partridge
plane planes
maines maine
pronoun pronouns
reissues reissue
helen helens
outputs output
person persons
therapeutics therapeutic
duchess duchesss
umpires umpire
laundry laundries
public publics
consumers consumer
riding ridings
unionists unionist
drugstore drugstores
sprites sprite
verb verbs
midazolam midazolams
stanzas stanza
glory glories
ride rides
augustinians augustinian
mays may
bond bonds
acids acid
radii radius
warrior warriors
miller millers
insult insults
dropouts dropout
eye eyes
markets market
buyer buyers
trilogy trilogies
aaa aaas
ismailis ismaili
eds ed
shoguns shogun
biographers biographer
caterpillars caterpillar
monad monads
marauders marauder
parliamentarians parliamentarian
precursors precursor
jeweler jewelers
crows crow
portrayal portrayals
sonnys sonny
immortal immortals
herberts herbert
regencies regency
cads cad
tudor tudors
switches switch
street streets
suicides suicide
lewiss lewis
seismograph seismographs
slogan slogans
bozo bozos
tenses tense
romanias romania
scandals scandal
dinners dinner
sparrow sparrows
spillers spiller
yes yess
lust lusts
urging urgings
leaf leaves leafs
ally allies
restaurant restaurants
centres centre
racehorse racehorses
nicaraguas nicaragua
commercial commercials
commissioners commissioner
g gs
minute minutes
lily lilies
crypt crypts
tin tins
pips pip
wiles wile
bandit bandits
swedes swede
bombers bomber
pu pus
helm helms
vibrations vibration
cid cids
hindu hindus
pauls paul
ambulance ambulances
compiler compilers
skateboards skateboard
shoots shoot
brokerages brokerage
millstones millstone
travelers traveler
tips tip
massacres massacre
mix mixes
paramedics paramedic
floodlights floodlight
seminars seminar
filipino filipinos
patients patient
heaters heater
suppliers supplier
tropicbirds tropicbird
duties duty
bantam bantams
moore moores
oceans ocean
gain gains
show shows
polyhedron polyhedra
qualifiers qualifier
dart darts
critiques critique
composer composers
gates gate
locations location
forms form
statistician statisticians
religions religion
symptoms symptom
freighters freighter
paces pace
phone phones
plastic plastics
son sons
barker barkers
airliners airliner
octopuses octopus
fbis fbi
animation animations
titan titans
clams clam
saxons saxon
outs out
shire shires
syllable syllables
brands brand
jerseys jersey
portsmouth portsmouths
drop drops
disabilities disability
contrasts contrast
bot bots
entertainments entertainment
alcohol alcohols
inspector inspectors
champ champs
iiis iii
marines marine
cosmonauts cosmonaut
pentecostal pentecostals
cds cd
earl earls
resins resin
choice choices
costs cost
consciousness consciousnesses
anarchist anarchists
newfoundland newfoundlands
cinematographer cinematographers
fluctuation fluctuations
mama mamas
auger augers
upsilon upsilons
buddy buddys buddies
archer archers
stable stables
avons avon
ferry ferries
greenhouses greenhouse
earthquake earthquakes
dame dames
paramyxoviruses paramyxovirus
parallelograms parallelogram
pierces pierce
cantata cantatas
characteristic characteristics
coats coat
techs tech
caste castes
gatherers gatherer
stationer stationers
gregorys gregory
civet civets
irishmen irishman
crater craters
classroom classrooms
playwright playwrights
medulla medullae
peoples people
citadels citadel
johnson johnsons
pistol pistols
antibiotics antibiotic
disguise disguises
chemists chemist
georgetowns georgetown
start starts
killer killers
lookup lookups
encodings encoding
rosas rosa
frameworks framework
motions motion
federal federals
hits hit
trombones trombone
rancher ranchers
spokespersons spokesperson
swedens sweden
girls girl
hardcover hardcovers
khan khans
means mean
greenbacks greenback
missiles missile
colleague colleagues
atlantas atlanta
https http
substrate substrates
merger mergers
lapwings lapwing
unions union
ohio ohios
spikes spike
umlauts umlaut
belgiums belgium
products product
malls mall
infections infection
ukraines ukraine
captain captains
azerbaijan azerbaijans
twins twin
configuration configurations
outbreaks outbreak
paratrooper paratroopers
tortoise tortoises
comment comments
finals final
fantasies fantasy
cook cooks
lie lies
sms sm smss
fcc fccs
grandmasters grandmaster
chlorates chlorate
flanks flank
king kings
account accounts
finches finch
explosive explosives
victorias victoria
pneumonias pneumonia
redfords redford
quanta quantum
arps arp
leopard leopards
layers layer
stubs stub
centromeres centromere
cavern caverns
signal signals
stances stance
kis ki
archaeologist archaeologists
bloggers blogger
saskatoons saskatoon
drive drives
windmill windmills
symbol symbols
cunningham cunninghams
tank tanks
river rivers
recesses recess
squid squids
iguanas iguana
clones clone
villain villains
competitor competitors
opposition oppositions
cooper coopers
ballparks ballpark
certifications certification
refuses refuse
comanche comanches
solomon solomons
chords chord
praise praises
peers peer
deserter deserters
dioceses diocese
discounts discount
vfws vfw
pulsations pulsation
deposit deposits
disciple disciples
dates date
complication complications
yuan yuans
quarterback quarterbacks
styrofoam styrofoams
dale dales
estonians estonian
contents content
sales sale
vicegerent vicegerents
polynomials polynomial
donkeys donkey
promoter promoters
earth earths
macks mack
maroon maroons
labels label
looks look
section sections
mite mites
presences presence
italys italy
footballer footballers
forgery forgeries
terns tern
bugle bugles
coasters coaster
fiance fiances
wells well
ems em
ethics ethic
aid aids
tone tones
decades decade
rape rapes
burghs burgh
ideal ideals
offence offences
taffys taffy
monaco monacos
cans can
sphincters sphincter
americans american
decorations decoration
mann manns
indonesias indonesia
classics classic
manners manner
hazards hazard
floors floor
bone bones
avatars avatar
resource resources
associates associate
sittings sitting
boulevard boulevards
comet comets
progressives progressive
spencer spencers
eus eu
trotskyist trotskyists
musician musicians
locks lock
canon canons
yorks york
coypu coypus
refuelings refueling
follicles follicle
cocktails cocktail
dots dot
evaluations evaluation
fathers father
highlights highlight
meats meat
merlins merlin
innocent innocents
vampire vampires
joy joys
immigrant immigrants
vs v
alexandrine alexandrines
water waters
small smalls
blueberries blueberry
protest protests
uses us u uss
metropolitans metropolitan
expressionist expressionists
turnover turnovers
drug drugs
acclamation acclamations
evenings evening
hawaiis hawaii
airdrops airdrop
bloodstone bloodstones
promises promise
vindication vindications
measurement measurements
consuls consul
observation observations
tai tais
tonne tonnes
airings airing
gershwin gershwins
arena arenas
witches witch
eaters eater
franchises franchise
localisations localisation
hens hen
bartenders bartender
genes gene
diamond diamonds
backs back
stallions stallion
creators creator
battleships battleship
traditions tradition
starship starships
hooks hook
funnels funnel
vocals vocal
tile tiles
comparisons comparison
cypriots cypriot
view views
transmitters transmitter
sex sexes
expenditures expenditure
beavers beaver
mina minas
rage rages
minors minor
upland uplands
agnostics agnostic
corymbs corymb
fridays friday
brakes brake
altitudes altitude
olivers oliver
experience experiences
joins join
discrepancy discrepancies
roads road
chairlift chairlifts
murder murders
cantons canton
starter starters
outage outages
bloc blocs
classmate classmates
chaplain chaplains
dory dories
tess tes te
tumbles tumble
philips philip
prediction predictions
doc docs
peels peel
allowance allowances
fields field
bowlers bowler
astronaut astronauts
passengers passenger
scouts scout
tendons tendon
cavities cavity
traditionalists traditionalist
pt pts
claimant claimants
capillary capillaries
summers summer
aesthetic aesthetics
situations situation
platform platforms
hydrocarbons hydrocarbon
lithuanians lithuanian
activators activator
asset assets
verticals vertical
haiku haikus
franklin franklins
adhesion adhesions
rivalries rivalry
goalkeeper goalkeepers
pawn pawns
nasas nasa
liston listons
annexation annexations
lipstick lipsticks
ruling rulings
phenomenon phenomena
hotspurs hotspur
pensions pension
sequences sequence
goatskins goatskin
marxist marxists
darkness darknesss
sacraments sacrament
brigands brigand
crossopterygian crossopterygians
sols soles sol
newcastle newcastles
dictatorships dictatorship
loops loop
weightlifters weightlifter
matter matters
governor governors
hostilities hostility
thirties thirty
states state
finland finlands
appearances appearance
groceries grocery
manuscript manuscripts
triples triple
forward forwards
mark marks
piazza piazzas
enforcers enforcer
da das
consistories consistory
baptist baptists
w ws
artist artists
dovers dover
wound wounds
grotto grottoes grottos
entertainer entertainers
titles title
crimes crime
oscillator oscillators
automobile automobiles
defence defences
grasshopper grasshoppers
yankee yankees
bookstores bookstore
galloways galloway
mumble mumbles
simpson simpsons
keyboardists keyboardist
wormhole wormholes
superintendent superintendents
filly fillies
services service
failures failure
masques masque
developers developer
poles pole
wolffs wolff
herbicides herbicide
airframe airframes
carter carters
freemasons freemason
grandchildren grandchild
crake crakes
slope slopes
trespasser trespassers
drill drills
guitars guitar
toads toad
outposts outpost
predators predator
are ares
yachts yacht
battlefields battlefield
ts t
instabilities instability
dictionaries dictionary
armadillos armadillo
wellingtons wellington
sedans sedan
african africans
alberta albertas
regiment regiments
dome domes
johnnys johnny johnnies
montes monte
capitals capital
bugs bug
mackenzies mackenzie
firearm firearms
diapsids diapsid
papa papas
ravines ravine
jaggers jagger
paperback paperbacks
protocols protocol
theresas theresa
withdrawals withdrawal
palestine palestines
chats chat
emotions emotion
fielder fielders
inventories inventory
seven sevens
action actions
flood floods
linotypes linotype
yoga yogas
orphans orphan
trade trades
bean beans
geyser geysers
system systems
dc dcs dcss
messages message
interlockings interlocking
zone zones
sideline sidelines
slots slot
cases case
think thinks
part parts
model models
genera genus
adaptation adaptations
exponentials exponential
pike pikes
card cards
elites elite
turbojet turbojets
dispute disputes
belays belay
demo demos
serb serbs
spheres sphere
powells powell
vertex vertices
array arrays
pattens patten
maids maid
euclids euclid
plovers plover
orthodoxys orthodoxy
combatants combatant
fatah fatahs
lane lanes
fencers fencer
aquas aqua
dream dreams
searchlight searchlights
turbine turbines
dinks dink
transcriptions transcription
urges urge
potentials potential
four fours
mustang mustangs
homeboys homeboy
dps dp
eras era
octaves octave
golem golems
aircrafts aircraft
rejects reject
movie movies
epigrams epigram
accomplishments accomplishment
threat threats
enclosures enclosure
brahmss brahms
childhoods childhood
corrections correction
willard willards
inventor inventors
woodlands woodland
moth moths
argentina argentinas
teammate teammates
carriageways carriageway
turner turners
hesiods hesiod
griffith griffiths
thought thoughts
agonist agonists
tells tell
test tests
beowulfs beowulf
feel feels
passport passports
publisher publishers
algorithms algorithm
methodists methodist
night nights
option options
condominiums condominium
dock docks
aladdin aladdins
stalls stall
geometries geometry
contenders contender
reptiles reptile
exposition expositions
graveyards graveyard
declaration declarations
pulse pulses
rediffusions rediffusion
relation relations
script scripts
cedars cedar
linden lindens
guards guard
prosecutions prosecution
vote votes
kentuckys kentucky
reasons reason
help helps
trait traits
valets valet
graduate graduates
mnemonics mnemonic
moros moro
initial initials
specialists specialist
parkway parkways
fda fdas
hitlers hitler
proverbs proverb
sulcus sulci
squads squad
riels riel
pouches pouch
submarines submarine
blues blue
translator translators
murdochs murdoch
youths youth
delegations delegation
edition editions
michael michaels
californias california
judaisms judaism
qaeda qaedas
corpuscle corpuscles
hornets hornet
titrations titration
billions billion
scandinavians scandinavian
mod mods
heres here
hope hopes
highs high
alumnus alumni
croat croats
blogs blog
rail rails
shelleys shelley
john johns
productions production
kingston kingstons
composites composite
grievance grievances
oracles oracle
death deaths
bams bam
dissolves dissolve
wangler wanglers
calendar calendars
indians indian
relaxant relaxants
warehouse warehouses
plantagenet plantagenets
codes code
dialogs dialog
mutants mutant
gems gem
rose roses
japans japan
staff staffs
gives give
detector detectors
copy copies
pratincoles pratincole
performances performance
charges charge
priestess priestesses
assessment assessments
brazils brazil
translations translation
hitchcock hitchcocks
octet octets
branching branchings
scorers scorer
chrysanthemum chrysanthemums
martinis martini
know knows
blacks black
agglomerations agglomeration
complaints complaint
hop hops
classification classifications
heart hearts
illusions illusion
reading readings
valis vali
rings ring
cymbalist cymbalists
rios rio
quotations quotation
marshes marsh
juveniles juvenile
pines pine
washington washingtons
female females
shallows shallow
holders holder
dispatches dispatch
ants ant
politicians politician
globalization globalizations
assault assaults
turnpike turnpikes
star stars
staffer staffers
tablets tablet
prussians prussian
cutoffs cutoff
winning winnings
bleach bleaches
infrastructure infrastructures
foundation foundations
benediction benedictions
guest guests
branding brandings
commander commanders
board boards
marvel marvels
bulbil bulbils
bradleys bradley
