wc,vc
5231,1746
5233,1747
5242,1748
5253,1749
5255,1750
5260,1751
5262,1752
5264,1753
5265,1754
5266,1755
5272,1756
5276,1757
5278,1758
5279,1759
5281,1760
5282,1761
5289,1762
5290,1763
5293,1764
5294,1765
5300,1766
5301,1767
5302,1768
5303,1769
5304,1770
5305,1771
5306,1772
5308,1773
5309,1774
5311,1775
5312,1776
5313,1777
5317,1778
5318,1779
5319,1780
5323,1781
5327,1782
5328,1783
5329,1784
5334,1785
5335,1786
5336,1787
5338,1788
5339,1789
5341,1790
5342,1791
5347,1792
5348,1793
5350,1794
5351,1795
5352,1796
5355,1797
5359,1798
5360,1799
5361,1800
5365,1801
5367,1802
5368,1803
5369,1804
5370,1805
5373,1806
5375,1807
5376,1808
5377,1809
5378,1810
5379,1811
5382,1812
5385,1813
5386,1814
5387,1815
5388,1816
5393,1817
5409,1818
5430,1819
5431,1820
5438,1821
5439,1822
5441,1823
5482,1824
5489,1825
5498,1826
5499,1827
5502,1828
5503,1829
5505,1830
5553,1831
5556,1832
5557,1833
5599,1834
5602,1835
5605,1836
5607,1837
5610,1838
5611,1839
5612,1840
5614,1841
5615,1842
5617,1843
5618,1844
5621,1845
5622,1846
5623,1847
5625,1848
5627,1849
5628,1850
5629,1851
5630,1852
5631,1853
5633,1854
5634,1855
5636,1856
5637,1857
5638,1858
5644,1859
5651,1860
5655,1861
5657,1862
5659,1863
5661,1864
5662,1865
5664,1866
5665,1867
5666,1868
5668,1869
5680,1870
5683,1871
5684,1872
5687,1873
5688,1874
5694,1875
5696,1876
5697,1877
5704,1878
5705,1879
5706,1880
5709,1881
5710,1882
5712,1883
5713,1884
5716,1885
5719,1886
5721,1887
5724,1888
5725,1889
5727,1890
5729,1891
5731,1892
5740,1893
5742,1894
5746,1895
5748,1896
5750,1897
5752,1898
5753,1899
5759,1900
5762,1901
5766,1902
5767,1903
5768,1904
5771,1905
5779,1906
5780,1907
5785,1908
5786,1909
5790,1910
5791,1911
5798,1912
5799,1913
5804,1914
5810,1915
5813,1916
5857,1917
5899,1918
5900,1919
5901,1920
5938,1921
5940,1922
5941,1923
5945,1924
5947,1925
5948,1926
5952,1927
5954,1928
5956,1929
5957,1930
5960,1931
5974,1932
5975,1933
5978,1934
5980,1935
5986,1936
5990,1937
5993,1938
6001,1939
6002,1940
6012,1941
6055,1942
6097,1943
6131,1944
6136,1945
6139,1946
6141,1947
6142,1948
6147,1949
6149,1950
6153,1951
6154,1952
6156,1953
6157,1954
6158,1955
6160,1956
6163,1957
6165,1958
6170,1959
6173,1960
6176,1961
6178,1962
6221,1963
6229,1964
6231,1965
6273,1966
6274,1967
6311,1968
6312,1969
6315,1970
6317,1971
6320,1972
6322,1973
6323,1974
6325,1975
6330,1976
6336,1977
6339,1978
6343,1979
6345,1980
6349,1981
6362,1982
6364,1983
6366,1984
6369,1985
6370,1986
6371,1987
6372,1988
6373,1989
6374,1990
6375,1991
6376,1992
6377,1993
6381,1994
6382,1995
6383,1996
6384,1997
6385,1998
6386,1999
6387,2000
6388,2001
6389,2002
6390,2003
6391,2004
6392,2005
6393,2006
6394,2007
6395,2008
6396,2009
6398,2010
6399,2011
6400,2012
6401,2013
6402,2014
6403,2015
6404,2016
6405,2017
6406,2018
6407,2019
6408,2020
6409,2021
6410,2022
6411,2023
6412,2024
6413,2025
6414,2026
6415,2027
6416,2028
6417,2029
6418,2030
6419,2031
6420,2032
6421,2033
6422,2034
6423,2035
6424,2036
6425,2037
6426,2038
6427,2039
6428,2040
6429,2041
6430,2042
6431,2043
6432,2044
6433,2045
6434,2046
6435,2047
6436,2048
6437,2049
6438,2050
6439,2051
6440,2052
6441,2053
6442,2054
6443,2055
6444,2056
6445,2057
6447,2058
6448,2059
6449,2060
6450,2061
6451,2062
6452,2063
6453,2064
6454,2065
6455,2066
6456,2067
6457,2068
6458,2069
6459,2070
6460,2071
6461,2072
6462,2073
6463,2074
6464,2075
6465,2076
6466,2077
6467,2078
6468,2079
6469,2080
6470,2081
6471,2082
6472,2083
6473,2084
6474,2085
6475,2086
6476,2087
6477,2088
6478,2089
6479,2090
6480,2091
6481,2092
6483,2093
6484,2094
6485,2095
6486,2096
6487,2097
6488,2098
6489,2099
6490,2100
6491,2101
6492,2102
6493,2103
6494,2104
6495,2105
6496,2106
6498,2107
6500,2108
6501,2109
6502,2110
6503,2111
6504,2112
6505,2113
6506,2114
6507,2115
6508,2116
6509,2117
6519,2118
6534,2119
6573,2120
6574,2121
6575,2122
6582,2123
6589,2124
6598,2125
6599,2126
6600,2127
6602,2128
6603,2129
6604,2130
6605,2131
6607,2132
6608,2133
6609,2134
6610,2135
6612,2136
6660,2137
6693,2138
6694,2139
6698,2140
6700,2141
6702,2142
6704,2143
6706,2144
6709,2145
6713,2146
6714,2147
6715,2148
6716,2149
6720,2150
6727,2151
6732,2152
6733,2153
6734,2154
6735,2155
6736,2156
6745,2157
6747,2158
6755,2159
6756,2160
6766,2161
6768,2162
6770,2163
6772,2164
6774,2165
6776,2166
6778,2167
6780,2168
6782,2169
