wc,vc
3263,1359
3265,1360
3266,1361
3268,1362
3271,1363
3273,1364
3274,1365
3275,1366
3276,1367
3277,1368
3278,1369
3282,1370
3283,1371
3285,1372
3286,1373
3287,1374
3289,1375
3290,1376
3292,1377
3295,1378
3296,1379
3298,1380
3302,1381
3308,1382
3309,1383
3310,1384
3312,1385
3314,1386
3317,1387
3320,1388
3321,1389
3323,1390
3325,1391
3333,1392
3334,1393
3335,1394
3337,1395
3339,1396
3340,1397
3341,1398
3344,1399
3349,1400
3350,1401
3352,1402
3356,1403
3357,1404
3358,1405
3368,1406
3372,1407
3373,1408
3387,1409
3388,1410
3389,1411
3390,1412
3391,1413
3392,1414
3393,1415
3394,1416
3395,1417
3396,1418
3398,1419
3399,1420
3401,1421
3402,1422
3403,1423
3404,1424
3405,1425
3406,1426
3407,1427
3408,1428
3409,1429
3410,1430
3412,1431
3414,1432
3416,1433
3417,1434
3419,1435
3420,1436
3421,1437
3422,1438
3423,1439
3424,1440
3425,1441
3427,1442
3430,1443
3431,1444
3432,1445
3433,1446
3435,1447
3436,1448
3437,1449
3438,1450
3442,1451
3443,1452
3444,1453
3447,1454
3448,1455
3450,1456
3451,1457
3486,1458
3528,1459
3541,1460
3543,1461
3544,1462
3545,1463
3546,1464
3547,1465
3548,1466
3549,1467
3550,1468
3551,1469
3552,1470
3553,1471
3555,1472
3596,1473
3597,1474
3634,1475
3637,1476
3638,1477
3639,1478
3645,1479
3646,1480
3647,1481
3650,1482
3651,1483
3654,1484
3656,1485
3657,1486
3658,1487
3660,1488
3662,1489
3663,1490
3667,1491
3669,1492
3671,1493
3672,1494
3673,1495
3674,1496
3675,1497
3679,1498
3681,1499
3683,1500
3685,1501
3686,1502
3689,1503
3691,1504
3694,1505
3695,1506
3696,1507
3702,1508
3704,1509
3705,1510
3708,1511
3709,1512
3710,1513
3711,1514
3713,1515
3719,1516
3720,1517
3727,1518
3728,1519
3730,1520
3731,1521
3734,1522
3737,1523
3738,1524
3740,1525
3741,1526
3744,1527
3749,1528
3751,1529
3753,1530
3755,1531
3760,1532
3761,1533
3767,1534
3770,1535
3773,1536
3775,1537
3777,1538
3779,1539
3780,1540
3782,1541
3784,1542
3785,1543
3788,1544
3789,1545
3791,1546
3794,1547
3796,1548
3797,1549
3800,1550
3801,1551
3804,1552
3805,1553
3806,1554
3811,1555
3812,1556
3813,1557
3815,1558
3818,1559
3819,1560
3820,1561
3826,1562
3828,1563
3830,1564
3834,1565
3836,1566
3839,1567
3840,1568
3841,1569
3842,1570
3843,1571
3844,1572
3845,1573
3846,1574
3848,1575
3851,1576
3855,1577
3857,1578
3858,1579
3861,1580
3862,1581
3864,1582
3866,1583
3867,1584
3868,1585
3870,1586
3872,1587
3877,1588
3879,1589
3882,1590
3884,1591
3888,1592
3890,1593
3891,1594
3892,1595
3896,1596
3902,1597
3905,1598
3907,1599
3908,1600
3910,1601
3911,1602
3916,1603
3917,1604
3922,1605
3926,1606
3927,1607
3929,1608
3930,1609
3933,1610
3935,1611
3939,1612
3945,1613
3948,1614
3950,1615
3958,1616
3961,1617
3963,1618
3966,1619
3967,1620
3968,1621
3970,1622
3974,1623
3976,1624
3978,1625
3980,1626
3984,1627
3986,1628
3987,1629
3988,1630
3989,1631
3991,1632
3992,1633
3995,1634
3996,1635
3997,1636
3999,1637
4000,1638
4002,1639
4007,1640
4009,1641
4010,1642
4012,1643
4014,1644
4018,1645
4019,1646
4020,1647
4021,1648
4023,1649
4024,1650
4025,1651
4026,1652
4027,1653
4029,1654
4030,1655
4031,1656
4032,1657
4033,1658
4034,1659
4040,1660
4041,1661
4042,1662
4043,1663
4044,1664
4045,1665
4047,1666
4048,1667
4049,1668
4051,1669
4052,1670
4060,1671
4081,1672
4082,1673
4084,1674
4086,1675
4087,1676
4088,1677
4091,1678
4092,1679
4100,1680
4102,1681
4103,1682
4105,1683
4106,1684
4109,1685
4111,1686
4120,1687
4124,1688
4126,1689
4129,1690
4138,1691
4143,1692
4144,1693
4145,1694
4148,1695
4149,1696
4150,1697
4162,1698
4166,1699
4168,1700
4170,1701
4171,1702
4174,1703
4176,1704
4177,1705
4179,1706
4180,1707
4183,1708
4191,1709
4194,1710
4195,1711
4196,1712
4198,1713
4205,1714
4208,1715
4212,1716
4215,1717
4216,1718
4218,1719
4219,1720
4221,1721
4225,1722
4229,1723
4234,1724
4237,1725
4240,1726
4241,1727
4242,1728
4246,1729
4255,1730
4257,1731
4259,1732
4260,1733
4261,1734
4263,1735
4264,1736
4266,1737
4269,1738
