wc,vc
3533,1316
3536,1317
3537,1318
3541,1319
3547,1320
3549,1321
3550,1322
3551,1323
3553,1324
3554,1325
3555,1326
3558,1327
3559,1328
3560,1329
3561,1330
3562,1331
3563,1332
3564,1333
3565,1334
3566,1335
3567,1336
3568,1337
3569,1338
3570,1339
3571,1340
3577,1341
3634,1342
3640,1343
3641,1344
3648,1345
3649,1346
3650,1347
3651,1348
3653,1349
3654,1350
3655,1351
3656,1352
3657,1353
3658,1354
3659,1355
3660,1356
3661,1357
3662,1358
3663,1359
3664,1360
3665,1361
3666,1362
3667,1363
3668,1364
3669,1365
3670,1366
3671,1367
3672,1368
3673,1369
3674,1370
3675,1371
3676,1372
3677,1373
3678,1374
3679,1375
3680,1376
3681,1377
3682,1378
3683,1379
3684,1380
3685,1381
3686,1382
3687,1383
3688,1384
3689,1385
3690,1386
3691,1387
3692,1388
3693,1389
3694,1390
3696,1391
3697,1392
3739,1393
3740,1394
3741,1395
3743,1396
3787,1397
3788,1398
3791,1399
3792,1400
3794,1401
3795,1402
3796,1403
3797,1404
3798,1405
3799,1406
3800,1407
3803,1408
3812,1409
3813,1410
3816,1411
3817,1412
3828,1413
3833,1414
3834,1415
3837,1416
3838,1417
3839,1418
3845,1419
3849,1420
3851,1421
3864,1422
3871,1423
3872,1424
3911,1425
3917,1426
3924,1427
3925,1428
3926,1429
3927,1430
3928,1431
3930,1432
3967,1433
3969,1434
3970,1435
3971,1436
3972,1437
4013,1438
4014,1439
4017,1440
4018,1441
4023,1442
4024,1443
4025,1444
4027,1445
4030,1446
4031,1447
4032,1448
4033,1449
4034,1450
4035,1451
4036,1452
4037,1453
4041,1454
4043,1455
4048,1456
4052,1457
4053,1458
4054,1459
4056,1460
4060,1461
4061,1462
4067,1463
4069,1464
4072,1465
4073,1466
4076,1467
4084,1468
4092,1469
4094,1470
4095,1471
4097,1472
4098,1473
4099,1474
4101,1475
4108,1476
4116,1477
4121,1478
4123,1479
4126,1480
4127,1481
4131,1482
4141,1483
4148,1484
4149,1485
4154,1486
4156,1487
4176,1488
4181,1489
4182,1490
4186,1491
4187,1492
4196,1493
4198,1494
4202,1495
4203,1496
4205,1497
4207,1498
4208,1499
4209,1500
4221,1501
4222,1502
4224,1503
4226,1504
4247,1505
4249,1506
4254,1507
4255,1508
4260,1509
4261,1510
4267,1511
4268,1512
4269,1513
4273,1514
4276,1515
4277,1516
4279,1517
4285,1518
4286,1519
4287,1520
4289,1521
4290,1522
4291,1523
4295,1524
4299,1525
4300,1526
4303,1527
4306,1528
4307,1529
4310,1530
4315,1531
4319,1532
4323,1533
4327,1534
4330,1535
4332,1536
4333,1537
4334,1538
4335,1539
4336,1540
4338,1541
4339,1542
4345,1543
4346,1544
4352,1545
4353,1546
4354,1547
4355,1548
4357,1549
4358,1550
4359,1551
4360,1552
4361,1553
4363,1554
4364,1555
4365,1556
4366,1557
4369,1558
4370,1559
4371,1560
4373,1561
4374,1562
4375,1563
4376,1564
4378,1565
4379,1566
4380,1567
4383,1568
4384,1569
4386,1570
4391,1571
4393,1572
4394,1573
4399,1574
4401,1575
4415,1576
4417,1577
4429,1578
4430,1579
4434,1580
4436,1581
4442,1582
4493,1583
4502,1584
4503,1585
4505,1586
4506,1587
4507,1588
4508,1589
4509,1590
4512,1591
4514,1592
4516,1593
4557,1594
4558,1595
4593,1596
4595,1597
4596,1598
4598,1599
4602,1600
4607,1601
4611,1602
4614,1603
4615,1604
4616,1605
4617,1606
4618,1607
4619,1608
4620,1609
4621,1610
4622,1611
4623,1612
4626,1613
4627,1614
4628,1615
4629,1616
4631,1617
4632,1618
4634,1619
4635,1620
4636,1621
4637,1622
4640,1623
4641,1624
4648,1625
4656,1626
4657,1627
4658,1628
4659,1629
4660,1630
4661,1631
4662,1632
4667,1633
4672,1634
4677,1635
4678,1636
4681,1637
4682,1638
4685,1639
4691,1640
4692,1641
4701,1642
4713,1643
4714,1644
4715,1645
4717,1646
4721,1647
4730,1648
4732,1649
4753,1650
4754,1651
4755,1652
4756,1653
4757,1654
4759,1655
4761,1656
4764,1657
4801,1658
4808,1659
4815,1660
4851,1661
4852,1662
4887,1663
4888,1664
4891,1665
4892,1666
4893,1667
4894,1668
4895,1669
4896,1670
4899,1671
4900,1672
4901,1673
4902,1674
4904,1675
4905,1676
4907,1677
4908,1678
4909,1679
4910,1680
4911,1681
4913,1682
4915,1683
4918,1684
4920,1685
4921,1686
4922,1687
4923,1688
4926,1689
4927,1690
4929,1691
4934,1692
4936,1693
4940,1694
4941,1695
4942,1696
4944,1697
4945,1698
4948,1699
4950,1700
4955,1701
4956,1702
4958,1703
4960,1704
4961,1705
4963,1706
4969,1707
4977,1708
4999,1709
5000,1710
5003,1711
5043,1712
5049,1713
5056,1714
5057,1715
5058,1716
5059,1717
5060,1718
5061,1719
5105,1720
5106,1721
5145,1722
5146,1723
5149,1724
5150,1725
5151,1726
5159,1727
5161,1728
5162,1729
5166,1730
5167,1731
5169,1732
5171,1733
5174,1734
5177,1735
5179,1736
5180,1737
5181,1738
5182,1739
5183,1740
5184,1741
5186,1742
5187,1743
5189,1744
5190,1745
5191,1746
5193,1747
5195,1748
5196,1749
5197,1750
5199,1751
5201,1752
5202,1753
5206,1754
5207,1755
5209,1756
5210,1757
5213,1758
5226,1759
5230,1760
5232,1761
5236,1762
5237,1763
5238,1764
5239,1765
5244,1766
5246,1767
5249,1768
5250,1769
5256,1770
5257,1771
5258,1772
5261,1773
5264,1774
5268,1775
5270,1776
5271,1777
5274,1778
5276,1779
5277,1780
5278,1781
5280,1782
5285,1783
5288,1784
5289,1785
5290,1786
5291,1787
5292,1788
5295,1789
5298,1790
5301,1791
5302,1792
5305,1793
5306,1794
5309,1795
5311,1796
5315,1797
5317,1798
5320,1799
5321,1800
5323,1801
5324,1802
5325,1803
5326,1804
5328,1805
5329,1806
5330,1807
5331,1808
5333,1809
5335,1810
5337,1811
5339,1812
5340,1813
5341,1814
5345,1815
5346,1816
5347,1817
5348,1818
5349,1819
5350,1820
5351,1821
5353,1822
5354,1823
5358,1824
5375,1825
5378,1826
5385,1827
5386,1828
5390,1829
5399,1830
5407,1831
5409,1832
5411,1833
5413,1834
5416,1835
5419,1836
5422,1837
5425,1838
5426,1839
5429,1840
5432,1841
5436,1842
5437,1843
5439,1844
5442,1845
5455,1846
5456,1847
5465,1848
5467,1849
5471,1850
5476,1851
5488,1852
5496,1853
5497,1854
5503,1855
5506,1856
5508,1857
5513,1858
5520,1859
5523,1860
5527,1861
5530,1862
5533,1863
5550,1864
5565,1865
5570,1866
5574,1867
5575,1868
5577,1869
5578,1870
5581,1871
5586,1872
5600,1873
5601,1874
5603,1875
5604,1876
5607,1877
5608,1878
5612,1879
5613,1880
5614,1881
5615,1882
5618,1883
5634,1884
5636,1885
5640,1886
5644,1887
5650,1888
5653,1889
5654,1890
5658,1891
5659,1892
5696,1893
5697,1894
5701,1895
5703,1896
5704,1897
5706,1898
5712,1899
5733,1900
5734,1901
5739,1902
5769,1903
5776,1904
5788,1905
5790,1906
5793,1907
5794,1908
5795,1909
5815,1910
5818,1911
5820,1912
5824,1913
5827,1914
5838,1915
5843,1916
5846,1917
5856,1918
5858,1919
5862,1920
5871,1921
5873,1922
5878,1923
5884,1924
5890,1925
5891,1926
5895,1927
5897,1928
5901,1929
5903,1930
5909,1931
5918,1932
5919,1933
5938,1934
5944,1935
5946,1936
5948,1937
5964,1938
5971,1939
5985,1940
5986,1941
5991,1942
5993,1943
6000,1944
6017,1945
6020,1946
6040,1947
6043,1948
6051,1949
6053,1950
6054,1951
6064,1952
6075,1953
6098,1954
6105,1955
6108,1956
6109,1957
6111,1958
6117,1959
6124,1960
6126,1961
6128,1962
6129,1963
6135,1964
6137,1965
6139,1966
6140,1967
6141,1968
6143,1969
6146,1970
6155,1971
6161,1972
6169,1973
6173,1974
6177,1975
6178,1976
6184,1977
6207,1978
6209,1979
6217,1980
6224,1981
6226,1982
6243,1983
6251,1984
6252,1985
6277,1986
6280,1987
6283,1988
6288,1989
6303,1990
6305,1991
6314,1992
6316,1993
6319,1994
6321,1995
6323,1996
6324,1997
6334,1998
6339,1999
6341,2000
6342,2001
6344,2002
6350,2003
6378,2004
6391,2005
6393,2006
6395,2007
6406,2008
6413,2009
6415,2010
6417,2011
6419,2012
6447,2013
6460,2014
6461,2015
6462,2016
6481,2017
6488,2018
6496,2019
6507,2020
6509,2021
6516,2022
6527,2023
6528,2024
6531,2025
6533,2026
6538,2027
6539,2028
6545,2029
6547,2030
6556,2031
6557,2032
6562,2033
6563,2034
6567,2035
6579,2036
6581,2037
6582,2038
6590,2039
6591,2040
6597,2041
6607,2042
6609,2043
6610,2044
6613,2045
6614,2046
6615,2047
6618,2048
6619,2049
6622,2050
6624,2051
6625,2052
6626,2053
6627,2054
6647,2055
6648,2056
6684,2057
6685,2058
6687,2059
6688,2060
6689,2061
6690,2062
6696,2063
6704,2064
6705,2065
6712,2066
6713,2067
6714,2068
6715,2069
6716,2070
6717,2071
6718,2072
6719,2073
6720,2074
6721,2075
6722,2076
6723,2077
6725,2078
6726,2079
6727,2080
6728,2081
6729,2082
6730,2083
6731,2084
6732,2085
6733,2086
6734,2087
6735,2088
6736,2089
6737,2090
6738,2091
6739,2092
6740,2093
6741,2094
6742,2095
6743,2096
6744,2097
6745,2098
6746,2099
6747,2100
6748,2101
6749,2102
6750,2103
6751,2104
6752,2105
6753,2106
6754,2107
6755,2108
6758,2109
6759,2110
6760,2111
6761,2112
6763,2113
6764,2114
6765,2115
6766,2116
6767,2117
6768,2118
6769,2119
6770,2120
6771,2121
6772,2122
6773,2123
6774,2124
6775,2125
6776,2126
6777,2127
6778,2128
6779,2129
6780,2130
6781,2131
6782,2132
6783,2133
6784,2134
6785,2135
6787,2136
6828,2137
6829,2138
6866,2139
6868,2140
6869,2141
6883,2142
6886,2143
6887,2144
6890,2145
6891,2146
6895,2147
6901,2148
6910,2149
6914,2150
6942,2151
6943,2152
6944,2153
6945,2154
6948,2155
6950,2156
6953,2157
6955,2158
6958,2159
6959,2160
6960,2161
6961,2162
6967,2163
6973,2164
6980,2165
6983,2166
6987,2167
6989,2168
6990,2169
6993,2170
6996,2171
6998,2172
7005,2173
7006,2174
7007,2175
7011,2176
7012,2177
7013,2178
7016,2179
7018,2180
7027,2181
7028,2182
7030,2183
7032,2184
7033,2185
7037,2186
7038,2187
7041,2188
7044,2189
7049,2190
7050,2191
7054,2192
7055,2193
7056,2194
7064,2195
7067,2196
7073,2197
7075,2198
7077,2199
7079,2200
7084,2201
7088,2202
7089,2203
7091,2204
7093,2205
7095,2206
7098,2207
7102,2208
7103,2209
7107,2210
7109,2211
7112,2212
7118,2213
7121,2214
7123,2215
7127,2216
7132,2217
7143,2218
7145,2219
7148,2220
7149,2221
7150,2222
7153,2223
7154,2224
7156,2225
7157,2226
7160,2227
7165,2228
7167,2229
7170,2230
7173,2231
7186,2232
7188,2233
7189,2234
7190,2235
7192,2236
7199,2237
7202,2238
7213,2239
7214,2240
7216,2241
7217,2242
7221,2243
7223,2244
7225,2245
7228,2246
7230,2247
7233,2248
7235,2249
7239,2250
7243,2251
7247,2252
7249,2253
7251,2254
7253,2255
7261,2256
7266,2257
7267,2258
7268,2259
7270,2260
7276,2261
7281,2262
7282,2263
7283,2264
7285,2265
7324,2266
7330,2267
7337,2268
7338,2269
7339,2270
7341,2271
7342,2272
7343,2273
7344,2274
7345,2275
7346,2276
7347,2277
7348,2278
7387,2279
7389,2280
7426,2281
7431,2282
7432,2283
7434,2284
7435,2285
7438,2286
7439,2287
7445,2288
7448,2289
7450,2290
7452,2291
7456,2292
7457,2293
7461,2294
7465,2295
7466,2296
7471,2297
7472,2298
7474,2299
7479,2300
7480,2301
7484,2302
7485,2303
7486,2304
7522,2305
7528,2306
7567,2307
7608,2308
7610,2309
7616,2310
7618,2311
7621,2312
7622,2313
7623,2314
7625,2315
7633,2316
7634,2317
7635,2318
7644,2319
7646,2320
7647,2321
7648,2322
7664,2323
7667,2324
7675,2325
7676,2326
7677,2327
7678,2328
7679,2329
7683,2330
7684,2331
7685,2332
7689,2333
7708,2334
7716,2335
7718,2336
7721,2337
7723,2338
7724,2339
7725,2340
7726,2341
7730,2342
7731,2343
7733,2344
7737,2345
7747,2346
7749,2347
7750,2348
7760,2349
7762,2350
7765,2351
7772,2352
7797,2353
7798,2354
7799,2355
7800,2356
7801,2357
7805,2358
7806,2359
7808,2360
7809,2361
7826,2362
7828,2363
7831,2364
7832,2365
7833,2366
7838,2367
7851,2368
7852,2369
7855,2370
7857,2371
7858,2372
7859,2373
7860,2374
7862,2375
7864,2376
7865,2377
7877,2378
7881,2379
7883,2380
7885,2381
7887,2382
7892,2383
7911,2384
7922,2385
7924,2386
7928,2387
7930,2388
7931,2389
7935,2390
7936,2391
7939,2392
7940,2393
7942,2394
7944,2395
7950,2396
7951,2397
7955,2398
7956,2399
7957,2400
7958,2401
7959,2402
7960,2403
7961,2404
7963,2405
8010,2406
8015,2407
8024,2408
8025,2409
8026,2410
8027,2411
8029,2412
8065,2413
8100,2414
8101,2415
8103,2416
8104,2417
8105,2418
8107,2419
8108,2420
8109,2421
8110,2422
8111,2423
8112,2424
8113,2425
8114,2426
8121,2427
8122,2428
8125,2429
8132,2430
8133,2431
8135,2432
8139,2433
8140,2434
8144,2435
8149,2436
8151,2437
8152,2438
8154,2439
8155,2440
8157,2441
8158,2442
8161,2443
8166,2444
8168,2445
8173,2446
8180,2447
8182,2448
8183,2449
8189,2450
8190,2451
8191,2452
8192,2453
8199,2454
8203,2455
8209,2456
8211,2457
8217,2458
8224,2459
8227,2460
8228,2461
8230,2462
8246,2463
8252,2464
8253,2465
8257,2466
8259,2467
8263,2468
8265,2469
8269,2470
8276,2471
8283,2472
8291,2473
8292,2474
8295,2475
8299,2476
8306,2477
8307,2478
8316,2479
8320,2480
8322,2481
8325,2482
8329,2483
8332,2484
8336,2485
8343,2486
8347,2487
8348,2488
8351,2489
8353,2490
8355,2491
8360,2492
8365,2493
8369,2494
8371,2495
8372,2496
8374,2497
8378,2498
8379,2499
8380,2500
8393,2501
8395,2502
8399,2503
8400,2504
8402,2505
8408,2506
8412,2507
8420,2508
8430,2509
8432,2510
8433,2511
8439,2512
8442,2513
8443,2514
8444,2515
8450,2516
8463,2517
8473,2518
8477,2519
8480,2520
8481,2521
8482,2522
8483,2523
8486,2524
8488,2525
8490,2526
8491,2527
8495,2528
8503,2529
8505,2530
8509,2531
8512,2532
8553,2533
8559,2534
8567,2535
8569,2536
8570,2537
8572,2538
8613,2539
8614,2540
8651,2541
8654,2542
8655,2543
8656,2544
8658,2545
8659,2546
8660,2547
8661,2548
8663,2549
8665,2550
8666,2551
8667,2552
8668,2553
8669,2554
8670,2555
8675,2556
8679,2557
8680,2558
8693,2559
8694,2560
8695,2561
8696,2562
8697,2563
8698,2564
8699,2565
8700,2566
8701,2567
8702,2568
8705,2569
